AuthorName,comment_content
Xerces,"
					I've been playing this on and off since it was in beta, and went to give it another go with all the latest update before it comes to an end to see what its like now

however after i get past the tutorial, i cant seem to get into the proper mountains, just getting a grey screen instead still with menu music, then back to the menu room, but with no menus.

I tried restarting, reloading, different gfx settings etc. It even said the demo was a virus at one point, so made an exception for it. After over 30 mins...				"
Press start to begin,"
				 
																	 
								This is exactly how cool boarders 1 felt when I played a PS1 for the first time as a 13 year old. But then in VR! Tighten your gloves because it will be rough in 'Terje Haakonsen's Powder VR'. Winter games in VR is an experience that we VR players have been looking forward to for a long time, with the quality that Powder VR has to offer us, you will undoubtedly spend a high number of hours on this. Even when you have unlocked all locations and items, these Powder VR experiences are undoubtedly open to multiple replays! Glide down very high mountain peaks in a flash on skis or a snowboard, or fly like a squirrel just above the white plains with a wingsuit. You will have to unlock the wingsuit or a boosterpack through mini games that are accessible through the exploration mode, after that you will be able to use them in other activities besides the mini games and you can use the wingsuit from any jump, if it is high enough. By default you will have to do different modes in the world tour such as racing, checkpoints or freestyle, but via the minigames you can do even more challenging activities that belong to those modes, but just a little too challenging for a world tour to keep sporty. These modes will offer even more in the future once multiplayer support becomes available. Through the mini games you can gain a bit more extreme experiences, despite the fact that the world tour activities can already have high challenges. I like freestyle in exploration mode, so you can seek and conquer the highest jumps and the thinnest edges, or just enjoy the peaceful winter environments. You can also do tricks in the game with both skis and snowboard, here you will have to do flips or turns using movements with the controllers and you will also have to do a nose or tail grab manually. The locations in the game are also inspired by real mountain locations, for example Mt Albus in the game is based on the Mt Blanc of the Alps, or Kastle Ridge which is inspired by the slovak tatras national park which has a castle on a hill top, with snow peaks of course. Terje Haakonsen's Powder VR is like no other currently on the market and highly recommended! Skis & snowboard montage video:  			"
VRSimulator,"
				 
																	 
								Long awaited game especially due to high expectations on how developers will handle controls and I must say I am pretty impressed. I am mainly snowboarder so I will not provide much detail on how skiing is in this game. Anyway overally in early access this game seems legit. Peos: - controls general concept feel natural - there is almost no sickness or nausea but I may had already built up some threshold in other vr titles - after initiating air time on board game goes into slowmo which is really great to think the tricks at the moment - tracking pretty much guess the position of body and knees right - there is really nice music not any smash and boom type you would expect from this type of game - the game physics leans more toward simulation then arcade - people can eventually learn snowboarding in this game without prior experience - the overal atmosphere in game and visuals are very indie but feel great Cons: - turning with hands positioning feels little off as in real snowboarding it is mostly done by hips and legs - jumping controls are merged with nudging which makes it little hard to get jumps right initially - there is definitelly a learning curve - the is no physics matching leaning towards the front and back foot which feels unnatural - graphics is simplistic - the dude in explore mode looks weird :) - character avatars are little too sci-fi - the shop and gearing up is unfinished but i am looking forward full release I really enjoy the game even aware of cons and may find more when longer in game. I do not think there is any other title covering winter sports like this out there for all vr platforms so thumbs up from me.			"
0ut3r,"
				 
																	 
								Its a pretty good game but its kind of confusing. Some stuff just doesn't feel clear.			"
The Deeg,"
					When I try to install the game nothing actually downloads (also the installer dialogue doesn't show how much space this will take), is this happening to anyone else? If it's not just me is it possible the installer files aren't properly set in Steam's back-end?...				"
crow,
Michelangelo,
TupacVR,
ThunderBob,
Rea,
StockiVR,
Shinobinate,
BiscuitOne,"
					I understand, you can use your balance board as input using a windows software, I wonder if it is usable - could be very fun!				"
3DEvo,"
					Hi, thanks for this great Game at first but since the last Patch I still encountered a few problems in the game. 
1:
In the career as far i pass the finish line, it does not leave the track when I hit proceed.
The screen turns black and stays like that except sometimes i return to the Track again and skiing into the lake.
2: 
This Bug is braking the Game for me, because like any fourth race i skied i could not steer to the right side but to all other directions.
3:
When I leave the Heli and didn't swing ha...				"
Titanium[Ù¿|,"
					I can only play the tutorial. Anything else I try to load goes grey (white out). I have to force shutdown. Verified files removed demo and main program reloaded still same issue. Demo worked ok. But the main game seems to freeze. Help please?				"
